Date,Savings
4/30/2020,10893.2
3/31/2020,10454.1
2/29/2020,9941
1/31/2020,9922.1
12/31/2019,9788.1
11/30/2019,9723.4
10/31/2019,9649.9
9/30/2019,9572
8/31/2019,9526
7/31/2019,9472.2
6/30/2019,9433.2
5/31/2019,9367.1
4/30/2019,9270.3
3/31/2019,9305
2/28/2019,9270.7
1/31/2019,9280.7
12/31/2018,9277.9
11/30/2018,9219.5
10/31/2018,9193.6
9/30/2018,9229.2
8/31/2018,9252.7
7/31/2018,9214.8
6/30/2018,9233.1
5/31/2018,9194
4/30/2018,9131.6
3/31/2018,9141.5
2/28/2018,9128.1
1/31/2018,9086.4
12/31/2017,9095.3
11/30/2017,9041
10/31/2017,9055.4
9/30/2017,9042.1
8/31/2017,8999.9
7/31/2017,8986.6
6/30/2017,8952.4
5/31/2017,8957.6
4/30/2017,8976.1
3/31/2017,8926.4
2/28/2017,8902.3
1/31/2017,8837.3
12/31/2016,8800.7
11/30/2016,8759.8
10/31/2016,8743
9/30/2016,8677.7
8/31/2016,8607.9
7/31/2016,8557.5
6/30/2016,8497.3
5/31/2016,8426.1
4/30/2016,8386.9
3/31/2016,8332.3
2/29/2016,8233.6
1/31/2016,8235.5
12/31/2015,8163
11/30/2015,8126.2
10/31/2015,8124.7
9/30/2015,8031.5
8/31/2015,8024.4
7/31/2015,7940
6/30/2015,7888.3
5/31/2015,7874.6
4/30/2015,7808.1
3/31/2015,7765.8
2/28/2015,7728.3
1/31/2015,7673.5
12/31/2014,7601.2
11/30/2014,7549.4
10/31/2014,7539.6
9/30/2014,7467.2
8/31/2014,7488.5
7/31/2014,7433.6
6/30/2014,7374.2
5/31/2014,7347.9
4/30/2014,7294.2
3/31/2014,7249.2
2/28/2014,7250
1/31/2014,7200.7
12/31/2013,7158.4
11/30/2013,7114.6
10/31/2013,7110.4
9/30/2013,7056.3
8/31/2013,6988.2
7/31/2013,6948.8
6/30/2013,6877
5/31/2013,6835.9
4/30/2013,6779.4
3/31/2013,6777.3
2/28/2013,6723.8
1/31/2013,6701.4
12/31/2012,6750.1
11/30/2012,6609.4
10/31/2012,6553.6
9/30/2012,6497.5
8/31/2012,6456.7
7/31/2012,6413.4
6/30/2012,6348.8
5/31/2012,6281.6
4/30/2012,6249
3/31/2012,6200.8
2/29/2012,6155.5
1/31/2012,6099.7
12/31/2011,6031.7
11/30/2011,5984.5
10/31/2011,5965.6
9/30/2011,5939.9
8/31/2011,5907.7
7/31/2011,5800
6/30/2011,5698.4
5/31/2011,5557.2
4/30/2011,5551.5
3/31/2011,5470.2
2/28/2011,5416.8
1/31/2011,5375.9
12/31/2010,5338.6
11/30/2010,5296
10/31/2010,5279.3
9/30/2010,5225
8/31/2010,5179.5
7/31/2010,5129.1
6/30/2010,5074.3
5/31/2010,5078.8
4/30/2010,5021
3/31/2010,4939.5
2/28/2010,4902.7
1/31/2010,4859.5
12/31/2009,4813
11/30/2009,4791.9
10/31/2009,4725.1
9/30/2009,4650.1
8/31/2009,4603.4
7/31/2009,4550.1
6/30/2009,4453.9
5/31/2009,4458
4/30/2009,4385.2
3/31/2009,4346.9
2/28/2009,4290.9
1/31/2009,4258.4
12/31/2008,4129.5
11/30/2008,4035.8
